GEOID10,NAME,NAMELSAD
0800320,Acres Green,Acres Green CDP
0800620,Aetna Estates,Aetna Estates CDP
0800760,Aguilar,Aguilar town
0800870,Air Force Academy,Air Force Academy CDP
0800925,Akron,Akron town
0801090,Alamosa,Alamosa city
0801145,Alamosa East,Alamosa East CDP
0801420,Allenspark,Allenspark CDP
0801530,Alma,Alma town
0801640,Alpine,Alpine CDP
0801740,Altona,Altona CDP
0801915,Amherst,Amherst CDP
0802355,Antonito,Antonito town
0802575,Applewood,Applewood CDP
0802905,Arboles,Arboles CDP
0803015,Aristocrat Ranchettes,Aristocrat Ranchettes CDP
0803235,Arriba,Arriba town
0803455,Arvada,Arvada city
0803620,Aspen,Aspen city
0803730,Aspen Park,Aspen Park CDP
0803840,Atwood,Atwood CDP
0803950,Ault,Ault town
0804000,Aurora,Aurora city
0804110,Avon,Avon town
0804165,Avondale,Avondale CDP
0804620,Bark Ranch,Bark Ranch CDP
0804935,Basalt,Basalt town
0805120,Battlement Mesa,Battlement Mesa CDP
0805265,Bayfield,Bayfield town
0806090,Bennett,Bennett town
0806172,Berkley,Berkley CDP
0806255,Berthoud,Berthoud town
0806530,Bethune,Bethune town
0806602,Beulah Valley,Beulah Valley CDP
0806970,Black Forest,Black Forest CDP
0807025,Black Hawk,Black Hawk city
0807190,Blanca,Blanca town
0807245,Blende,Blende CDP
0807410,Blue River,Blue River town
0807420,Blue Sky,Blue Sky CDP
0807571,Bonanza,Bonanza town
0807580,Bonanza Mountain Estates,Bonanza Mountain Estates CDP
0807795,Boone,Boone town
0807850,Boulder,Boulder city
0808070,Bow Mar,Bow Mar town
0808290,Brandon,Brandon CDP
0808345,Branson,Branson town
0808400,Breckenridge,Breckenridge town
0808530,Brick Center,Brick Center CDP
0808675,Brighton,Brighton city
0809115,Brookside,Brookside town
0809280,Broomfield,Broomfield city
0809555,Brush,Brush city
0810105,Buena Vista,Buena Vista town
0810600,Burlington,Burlington city
0810985,Byers,Byers CDP
0811260,Calhan,Calhan town
0811645,Campo,Campo town
0811810,Cañon City,Cañon City city
0811975,Capulin,Capulin CDP
0812045,Carbondale,Carbondale town
0812325,Cascade-Chipita Park,Cascade-Chipita Park CDP
0812387,Castle Pines,Castle Pines CDP
0812390,Castle Pines North,Castle Pines North city
0812415,Castle Rock,Castle Rock town
0812450,Cathedral,Cathedral CDP
0812460,Catherine,Catherine CDP
0812470,Cattle Creek,Cattle Creek CDP
0812635,Cedaredge,Cedaredge town
0812815,Centennial,Centennial city
0812855,Center,Center town
0812910,Central City,Central City city
0812945,Chacra,Chacra CDP
0813460,Cheraw,Cheraw town
0813590,Cherry Creek,Cherry Creek CDP
0813845,Cherry Hills Village,Cherry Hills Village city
0814175,Cheyenne Wells,Cheyenne Wells town
0814587,Cimarron Hills,Cimarron Hills CDP
0814765,City of Creede,City of Creede town
0815165,Clifton,Clifton CDP
0815302,Coal Creek,Coal Creek CDP
0815330,Coal Creek,Coal Creek town
0815440,Coaldale,Coaldale CDP
0815550,Cokedale,Cokedale town
0815605,Collbran,Collbran town
0815825,Colona,Colona CDP
0815935,Colorado City,Colorado City CDP
0816000,Colorado Springs,Colorado Springs city
0816110,Columbine,Columbine CDP
0816385,Columbine Valley,Columbine Valley town
0816465,Comanche Creek,Comanche Creek CDP
0816495,Commerce City,Commerce City city
0816715,Conejos,Conejos CDP
0817150,Copper Mountain,Copper Mountain CDP
0817375,Cortez,Cortez city
0817485,Cotopaxi,Cotopaxi CDP
0817760,Craig,Craig city
0817925,Crawford,Crawford town
0818310,Crested Butte,Crested Butte town
0818420,Crestone,Crestone town
0818530,Cripple Creek,Cripple Creek city
0818585,Crisman,Crisman CDP
0818640,Crook,Crook town
0818750,Crowley,Crowley town
0819080,Dacono,Dacono city
0819150,Dakota Ridge,Dakota Ridge CDP
0819355,De Beque,De Beque town
0819630,Deer Trail,Deer Trail town
0819795,Del Norte,Del Norte town
0819850,Delta,Delta city
0820000,Denver,Denver city
0820275,Derby,Derby CDP
0820440,Dillon,Dillon town
0820495,Dinosaur,Dinosaur town
0820605,Divide,Divide CDP
0820770,Dolores,Dolores town
0821155,Dotsero,Dotsero CDP
0821265,Dove Creek,Dove Creek town
0821330,Dove Valley,Dove Valley CDP
0821390,Downieville-Lawson-Dumont,Downieville-Lawson-Dumont CDP
0822035,Durango,Durango city
0822145,Eads,Eads town
0822200,Eagle,Eagle town
0822575,East Pleasant View,East Pleasant View CDP
0822860,Eaton,Eaton town
0823025,Eckley,Eckley town
0823135,Edgewater,Edgewater city
0823300,Edwards,Edwards CDP
0823520,Elbert,Elbert CDP
0823575,Eldora,Eldora CDP
0823630,Eldorado Springs,Eldorado Springs CDP
0823740,Elizabeth,Elizabeth town
0823795,El Jebel,El Jebel CDP
0824235,Ellicott,Ellicott CDP
0824290,El Moro,El Moro CDP
0824620,Empire,Empire town
0824785,Englewood,Englewood city
0824950,Erie,Erie town
0825115,Estes Park,Estes Park town
0825280,Evans,Evans city
0825390,Evergreen,Evergreen CDP
0825550,Fairmount,Fairmount CDP
0825610,Fairplay,Fairplay town
0826270,Federal Heights,Federal Heights city
0826600,Firestone,Firestone town
0826765,Flagler,Flagler town
0826875,Fleming,Fleming town
0827040,Florence,Florence city
0827095,Florissant,Florissant CDP
0827175,Floyd Hill,Floyd Hill CDP
0827370,Fort Carson,Fort Carson CDP
0827425,Fort Collins,Fort Collins city
0827535,Fort Garland,Fort Garland CDP
0827700,Fort Lupton,Fort Lupton city
0827810,Fort Morgan,Fort Morgan city
0827865,Fountain,Fountain city
0827975,Fowler,Fowler town
0828105,Foxfield,Foxfield town
0828250,Franktown,Franktown CDP
0828305,Fraser,Fraser town
0828360,Frederick,Frederick town
0828690,Frisco,Frisco town
0828745,Fruita,Fruita city
0828800,Fruitvale,Fruitvale CDP
0828830,Fulford,Fulford CDP
0829185,Garden City,Garden City town
0829295,Garfield,Garfield CDP
0829625,Genesee,Genesee CDP
0829680,Genoa,Genoa town
0829735,Georgetown,Georgetown town
0829845,Gerrard,Gerrard CDP
0829955,Gilcrest,Gilcrest town
0830340,Glendale,Glendale city
0830350,Glendale,Glendale CDP
0830420,Gleneagle,Gleneagle CDP
0830780,Glenwood Springs,Glenwood Springs city
0830835,Golden,Golden city
0830890,Goldfield,Goldfield CDP
0830945,Gold Hill,Gold Hill CDP
0831550,Granada,Granada town
0831605,Granby,Granby town
0831660,Grand Junction,Grand Junction city
0831715,Grand Lake,Grand Lake town
0831935,Grand View Estates,Grand View Estates CDP
0832155,Greeley,Greeley city
0832650,Green Mountain Falls,Green Mountain Falls town
0833035,Greenwood Village,Greenwood Village city
0833310,Grover,Grover town
0833420,Guffey,Guffey CDP
0833502,Gunbarrel,Gunbarrel CDP
0833640,Gunnison,Gunnison city
0833695,Gypsum,Gypsum town
0834520,Hartman,Hartman town
0834685,Hasty,Hasty CDP
0834740,Haswell,Haswell town
0834960,Haxtun,Haxtun town
0835070,Hayden,Hayden town
0835400,Heeney,Heeney CDP
0835860,Hidden Lake,Hidden Lake CDP
0836410,Highlands Ranch,Highlands Ranch CDP
0836610,Hillrose,Hillrose town
0836940,Hoehne,Hoehne CDP
0837215,Holly,Holly town
0837220,Holly Hills,Holly Hills CDP
0837270,Holyoke,Holyoke city
0837380,Hooper,Hooper town
0837545,Hotchkiss,Hotchkiss town
0837600,Hot Sulphur Springs,Hot Sulphur Springs town
0837655,Howard,Howard CDP
0837820,Hudson,Hudson town
0837875,Hugo,Hugo town
0838370,Idaho Springs,Idaho Springs city
0838425,Idalia,Idalia CDP
0838480,Idledale,Idledale CDP
0838535,Ignacio,Ignacio town
0838590,Iliff,Iliff town
0838810,Indian Hills,Indian Hills CDP
0838910,Inverness,Inverness CDP
0839160,Jackson Lake,Jackson Lake CDP
0839195,Jamestown,Jamestown town
0839250,Jansen,Jansen CDP
0839745,Joes,Joes CDP
0839800,Johnson Village,Johnson Village CDP
0839855,Johnstown,Johnstown town
0839965,Julesburg,Julesburg town
0840185,Keenesburg,Keenesburg town
0840377,Ken Caryl,Ken Caryl CDP
0840515,Kersey,Kersey town
0840550,Keystone,Keystone CDP
0840570,Kim,Kim town
0840790,Kiowa,Kiowa town
0840900,Kirk,Kirk CDP
0841010,Kit Carson,Kit Carson town
0841065,Kittredge,Kittredge CDP
0841560,Kremmling,Kremmling town
0841835,Lafayette,Lafayette city
0842000,Laird,Laird CDP
0842055,La Jara,La Jara town
0842110,La Junta,La Junta city
0842165,La Junta Gardens,La Junta Gardens CDP
0842330,Lake City,Lake City town
0842495,Lakeside,Lakeside town
0843000,Lakewood,Lakewood city
0843110,Lamar,Lamar city
0843220,Laporte,Laporte CDP
0843550,Larkspur,Larkspur town
0843605,La Salle,La Salle town
0843660,Las Animas,Las Animas city
0844100,La Veta,La Veta town
0844270,Lazy Acres,Lazy Acres CDP
0844320,Leadville,Leadville city
0844375,Leadville North,Leadville North CDP
0844595,Lewis,Lewis CDP
0844695,Leyner,Leyner CDP
0844980,Limon,Limon town
0845145,Lincoln Park,Lincoln Park CDP
0845255,Littleton,Littleton city
0845530,Lochbuie,Lochbuie town
0845680,Loghill Village,Loghill Village CDP
0845695,Log Lane Village,Log Lane Village town
0845750,Loma,Loma CDP
0845955,Lone Tree,Lone Tree city
0845970,Longmont,Longmont city
0846355,Louisville,Louisville city
0846410,Louviers,Louviers CDP
0846465,Loveland,Loveland city
0847015,Lynn,Lynn CDP
0847070,Lyons,Lyons town
0847345,McCoy,McCoy CDP
0848060,Manassa,Manassa town
